name	latitude	longitude
chongqing	29.5630100	106.5515570
guangzhou	23.1291100	113.2643850
shaoguan	24.8104030	113.5975220
shenzhen	22.5430990	114.0578680
zhuhai	22.2707150	113.5767260
shantou	23.3540910	116.6819720
foshan	23.0214790	113.1214360
jiangmen	22.5787380	113.0819010
zhanjiang	21.2707080	110.3593770
maoming	21.6629990	110.9254560
zhaoqing	23.0471920	112.4650910
huizhou	23.1118470	114.4161960
meizhou	24.2886150	116.1222390
shanwei	22.7862110	115.3752790
heyuan	23.7436860	114.7009610
yangjiang	21.8579580	111.9822320
qingyuan	23.6817640	113.0560310
dongguan	23.0205360	113.7517650
zhongshan	22.5169990	113.3927250
chaozhou	23.6569500	116.6226040
jieyang	23.5499930	116.3728310
yunfu	22.9150940	112.0444910
nanning	22.8170020	108.3665430
liuzhou	24.3255020	109.4159530
guilin	25.2735660	110.2901950
wuzhou	23.4769630	111.2791150
beihai	21.4812540	109.1199270
fangchenggang	21.6868600	108.3538470
qinzhou	21.9799340	108.6541470
guigang	23.1115310	109.5989270
yulin	38.2853900	109.7345890
baise	23.9023330	106.6182010
hezhou	24.4035820	111.5666940
hechi	24.6929310	108.0852610
laibin	23.7503060	109.2214660
chongzuo	22.3765330	107.3647110
changsha	28.2282090	112.9388140
haerbin	45.8037750	126.5349670
mudanjiang	44.5516530	129.6331690
nanjing	32.0602550	118.7968770
wuxi	31.4911700	120.3119100
xuzhou	34.2057680	117.2841240
changzhou	31.8112260	119.9740620
suzhou	31.2989740	120.5852970
nantong	31.9801720	120.8942910
lianyungang	34.5966530	119.2216110
huaian	33.6103600	119.0152880
yancheng	33.3473830	120.1635620
yangzhou	32.3942100	119.4129660
zhenjiang	32.1878490	119.4258360
taizhou	28.6563860	121.4207570
suqian	33.9632320	118.2751980
jilin	43.8378830	126.5495720
shenyang	41.8056990	123.4314720
dalian	38.9140030	121.6146820
anshan	41.1086470	122.9943290
fushun	41.8808720	123.9572080
benxi	41.4869810	123.6851430
dandong	40.0007870	124.3544510
jinzhou	22.7922580	113.5389710
yingkou	40.6670120	122.2354180
fuxin	42.0216190	121.6703240
liaoyang	41.2672440	123.2369440
panjin	41.1199970	122.0707140
tieling	42.2238280	123.7260350
chaoyang	41.5737340	120.4503720
huludao	40.7110410	120.8369400
huhehaote	40.8425850	111.7491810
baotou	40.6573780	109.8403490
shanghai	31.2304160	121.4737010
